id,prediction
clf_0,0.0
clf_1,1.0
clf_2,0.0
clf_3,0.0
clf_4,0.0
clf_5,0.0
clf_6,0.0
clf_7,0.0
clf_8,1.0
clf_9,0.0
clf_10,1.0
clf_11,0.0
clf_12,1.0
clf_13,0.0
clf_14,0.0
clf_15,1.0
clf_16,1.0
clf_17,1.0
clf_18,0.0
clf_19,0.0
clf_20,0.0
clf_21,1.0
clf_22,0.0
clf_23,0.0
clf_24,0.0
clf_25,0.0
clf_26,0.0
clf_27,0.0
clf_28,0.0
clf_29,0.0
clf_30,0.0
clf_31,1.0
clf_32,0.0
clf_33,0.0
clf_34,1.0
clf_35,1.0
clf_36,0.0
clf_37,0.0
clf_38,0.0
clf_39,0.0
clf_40,0.0
clf_41,0.0
clf_42,0.0
clf_43,0.0
clf_44,0.0
clf_45,0.0
clf_46,0.0
clf_47,0.0
clf_48,0.0
clf_49,0.0
clf_50,0.0
clf_51,0.0
clf_52,0.0
clf_53,1.0
clf_54,0.0
clf_55,0.0
clf_56,0.0
clf_57,0.0
clf_58,0.0
clf_59,1.0
clf_60,0.0
clf_61,0.0
clf_62,1.0
clf_63,0.0
clf_64,0.0
clf_65,0.0
clf_66,0.0
clf_67,0.0
clf_68,0.0
clf_69,0.0
clf_70,0.0
clf_71,1.0
clf_72,0.0
clf_73,0.0
clf_74,0.0
clf_75,1.0
clf_76,0.0
clf_77,0.0
clf_78,0.0
clf_79,0.0
clf_80,0.0
clf_81,0.0
clf_82,0.0
clf_83,1.0
clf_84,0.0
clf_85,0.0
clf_86,0.0
clf_87,0.0
clf_88,1.0
clf_89,0.0
clf_90,0.0
clf_91,1.0
clf_92,0.0
clf_93,0.0
clf_94,0.0
clf_95,0.0
clf_96,0.0
clf_97,0.0
clf_98,0.0
clf_99,0.0
clf_100,1.0
clf_101,0.0
clf_102,0.0
clf_103,0.0
clf_104,0.0
clf_105,0.0
clf_106,1.0
clf_107,1.0
clf_108,1.0
clf_109,1.0
clf_110,0.0
clf_111,1.0
clf_112,0.0
clf_113,0.0
clf_114,0.0
clf_115,1.0
clf_116,0.0
clf_117,0.0
clf_118,0.0
clf_119,0.0
clf_120,0.0
clf_121,0.0
clf_122,0.0
clf_123,0.0
clf_124,1.0
clf_125,0.0
clf_126,1.0
clf_127,0.0
clf_128,0.0
clf_129,0.0
clf_130,0.0
clf_131,1.0
clf_132,0.0
clf_133,0.0
clf_134,0.0
clf_135,0.0
clf_136,1.0
clf_137,1.0
clf_138,0.0
clf_139,0.0
clf_140,0.0
clf_141,0.0
clf_142,0.0
clf_143,0.0
clf_144,0.0
clf_145,1.0
clf_146,0.0
clf_147,1.0
clf_148,0.0
clf_149,0.0
clf_150,0.0
clf_151,0.0
clf_152,0.0
clf_153,0.0
clf_154,1.0
clf_155,0.0
clf_156,1.0
clf_157,0.0
clf_158,0.0
clf_159,0.0
clf_160,0.0
clf_161,0.0
clf_162,0.0
clf_163,0.0
clf_164,0.0
clf_165,0.0
clf_166,0.0
clf_167,0.0
clf_168,0.0
clf_169,0.0
clf_170,0.0
clf_171,0.0
clf_172,0.0
clf_173,0.0
clf_174,0.0
clf_175,1.0
clf_176,0.0
clf_177,1.0
clf_178,0.0
clf_179,0.0
clf_180,0.0
clf_181,1.0
clf_182,0.0
clf_183,1.0
clf_184,0.0
clf_185,1.0
clf_186,1.0
clf_187,0.0
clf_188,0.0
clf_189,1.0
clf_190,0.0
clf_191,0.0
clf_192,0.0
clf_193,1.0
clf_194,1.0
clf_195,1.0
clf_196,0.0
clf_197,0.0
clf_198,0.0
clf_199,1.0
clf_200,0.0
clf_201,0.0
clf_202,0.0
clf_203,0.0
clf_204,1.0
clf_205,1.0
clf_206,0.0
clf_207,0.0
clf_208,1.0
clf_209,0.0
clf_210,1.0
clf_211,1.0
clf_212,0.0
clf_213,0.0
clf_214,1.0
clf_215,0.0
clf_216,0.0
clf_217,0.0
clf_218,1.0
clf_219,0.0
clf_220,0.0
clf_221,1.0
clf_222,1.0
clf_223,0.0
clf_224,0.0
clf_225,0.0
clf_226,0.0
clf_227,0.0
clf_228,0.0
clf_229,0.0
clf_230,0.0
clf_231,0.0
clf_232,0.0
clf_233,1.0
clf_234,0.0
clf_235,0.0
clf_236,0.0
clf_237,0.0
clf_238,0.0
clf_239,0.0
clf_240,0.0
clf_241,0.0
clf_242,0.0
clf_243,0.0
clf_244,0.0
clf_245,0.0
clf_246,0.0
clf_247,0.0
clf_248,1.0
clf_249,0.0
clf_250,0.0
clf_251,0.0
clf_252,1.0
clf_253,0.0
clf_254,0.0
clf_255,1.0
clf_256,0.0
clf_257,0.0
clf_258,0.0
clf_259,1.0
clf_260,0.0
clf_261,1.0
clf_262,0.0
clf_263,0.0
clf_264,0.0
clf_265,1.0
clf_266,0.0
clf_267,0.0
clf_268,0.0
clf_269,0.0
clf_270,1.0
clf_271,0.0
clf_272,0.0
clf_273,0.0
clf_274,0.0
clf_275,0.0
clf_276,1.0
clf_277,0.0
clf_278,0.0
clf_279,0.0
clf_280,0.0
clf_281,1.0
clf_282,0.0
clf_283,0.0
clf_284,0.0
clf_285,0.0
clf_286,1.0
clf_287,0.0
clf_288,0.0
clf_289,0.0
clf_290,0.0
clf_291,0.0
clf_292,0.0
clf_293,0.0
clf_294,0.0
clf_295,0.0
clf_296,0.0
clf_297,0.0
clf_298,0.0
clf_299,0.0
clf_300,0.0
clf_301,0.0
clf_302,0.0
clf_303,0.0
clf_304,1.0
clf_305,0.0
clf_306,0.0
clf_307,0.0
clf_308,0.0
clf_309,0.0
clf_310,1.0
clf_311,0.0
clf_312,0.0
clf_313,0.0
clf_314,0.0
clf_315,0.0
clf_316,0.0
clf_317,0.0
clf_318,0.0
clf_319,0.0
clf_320,0.0
clf_321,0.0
clf_322,0.0
clf_323,0.0
clf_324,1.0
clf_325,1.0
clf_326,0.0
clf_327,0.0
clf_328,0.0
clf_329,1.0
clf_330,0.0
clf_331,0.0
clf_332,0.0
clf_333,1.0
clf_334,1.0
clf_335,0.0
clf_336,0.0
clf_337,0.0
clf_338,0.0
clf_339,0.0
clf_340,0.0
clf_341,1.0
clf_342,0.0
clf_343,0.0
clf_344,0.0
clf_345,1.0
clf_346,1.0
clf_347,0.0
clf_348,0.0
clf_349,1.0
clf_350,0.0
clf_351,0.0
clf_352,0.0
clf_353,1.0
clf_354,1.0
clf_355,0.0
clf_356,1.0
clf_357,1.0
clf_358,0.0
clf_359,0.0
clf_360,1.0
clf_361,1.0
clf_362,0.0
clf_363,0.0
clf_364,1.0
clf_365,0.0
clf_366,0.0
clf_367,0.0
clf_368,0.0
clf_369,1.0
clf_370,0.0
clf_371,0.0
clf_372,0.0
clf_373,1.0
clf_374,1.0
clf_375,0.0
clf_376,1.0
clf_377,0.0
clf_378,0.0
clf_379,0.0
clf_380,1.0
clf_381,0.0
clf_382,0.0
clf_383,0.0
clf_384,1.0
clf_385,0.0
clf_386,1.0
clf_387,0.0
clf_388,0.0
clf_389,0.0
clf_390,1.0
clf_391,0.0
clf_392,0.0
clf_393,1.0
clf_394,1.0
clf_395,1.0
clf_396,1.0
clf_397,1.0
clf_398,1.0
clf_399,0.0
clf_400,0.0
clf_401,0.0
clf_402,1.0
clf_403,1.0
clf_404,0.0
clf_405,0.0
clf_406,0.0
clf_407,1.0
clf_408,0.0
clf_409,0.0
clf_410,0.0
clf_411,1.0
clf_412,0.0
clf_413,0.0
clf_414,1.0
clf_415,1.0
clf_416,0.0
clf_417,1.0
clf_418,0.0
clf_419,0.0
clf_420,0.0
clf_421,0.0
clf_422,0.0
clf_423,0.0
clf_424,0.0
clf_425,0.0
clf_426,0.0
clf_427,0.0
clf_428,0.0
clf_429,0.0
clf_430,1.0
clf_431,0.0
clf_432,0.0
clf_433,1.0
clf_434,1.0
clf_435,0.0
clf_436,1.0
clf_437,1.0
clf_438,0.0
clf_439,1.0
clf_440,0.0
clf_441,0.0
clf_442,0.0
clf_443,0.0
clf_444,0.0
clf_445,0.0
clf_446,1.0
clf_447,0.0
clf_448,0.0
clf_449,0.0
clf_450,0.0
clf_451,0.0
clf_452,0.0
clf_453,0.0
clf_454,1.0
clf_455,0.0
clf_456,1.0
clf_457,0.0
clf_458,1.0
clf_459,0.0
clf_460,0.0
clf_461,0.0
clf_462,0.0
clf_463,0.0
clf_464,1.0
clf_465,1.0
clf_466,0.0
clf_467,1.0
clf_468,1.0
clf_469,1.0
clf_470,0.0
clf_471,1.0
clf_472,0.0
clf_473,0.0
clf_474,0.0
clf_475,1.0
clf_476,0.0
clf_477,0.0
clf_478,0.0
clf_479,0.0
clf_480,0.0
clf_481,0.0
clf_482,0.0
clf_483,0.0
clf_484,0.0
clf_485,0.0
clf_486,0.0
clf_487,0.0
clf_488,0.0
clf_489,0.0
clf_490,1.0
clf_491,1.0
clf_492,0.0
clf_493,0.0
clf_494,0.0
clf_495,0.0
clf_496,0.0
clf_497,1.0
clf_498,1.0
clf_499,0.0
clf_500,0.0
clf_501,0.0
clf_502,1.0
clf_503,1.0
clf_504,1.0
clf_505,0.0
clf_506,0.0
clf_507,0.0
clf_508,0.0
clf_509,0.0
clf_510,1.0
clf_511,0.0
clf_512,0.0
clf_513,0.0
clf_514,0.0
clf_515,1.0
clf_516,0.0
clf_517,0.0
clf_518,0.0
clf_519,1.0
clf_520,0.0
clf_521,0.0
clf_522,0.0
clf_523,0.0
clf_524,0.0
clf_525,0.0
clf_526,1.0
clf_527,1.0
clf_528,0.0
clf_529,1.0
clf_530,0.0
clf_531,0.0
clf_532,0.0
clf_533,0.0
clf_534,0.0
clf_535,1.0
clf_536,0.0
clf_537,0.0
clf_538,1.0
clf_539,1.0
clf_540,0.0
clf_541,0.0
clf_542,0.0
clf_543,0.0
clf_544,0.0
clf_545,0.0
clf_546,0.0
clf_547,1.0
clf_548,0.0
clf_549,0.0
clf_550,1.0
clf_551,1.0
clf_552,1.0
clf_553,1.0
clf_554,1.0
clf_555,0.0
clf_556,0.0
clf_557,0.0
clf_558,1.0
clf_559,0.0
clf_560,0.0
clf_561,0.0
clf_562,0.0
clf_563,0.0
clf_564,0.0
clf_565,0.0
clf_566,0.0
clf_567,0.0
clf_568,0.0
clf_569,1.0
clf_570,0.0
clf_571,0.0
clf_572,0.0
clf_573,0.0
clf_574,0.0
clf_575,0.0
clf_576,1.0
clf_577,0.0
clf_578,1.0
clf_579,0.0
clf_580,0.0
clf_581,1.0
clf_582,0.0
clf_583,0.0
clf_584,0.0
clf_585,0.0
clf_586,1.0
clf_587,1.0
clf_588,0.0
clf_589,0.0
clf_590,0.0
clf_591,1.0
clf_592,0.0
clf_593,0.0
clf_594,0.0
clf_595,1.0
